카테고리,Mac 단축키,설명
Editing,"⌘ N, ⌃↩︎","디렉토리, 패키지, 클래스 등 생성 목록 보기"
Editing,⌃O,Override 가능한 메서드 목록을 확인하여 코드를 자동 생성
Editing,⌥⌘V,변수 자동 생성
Editing,⌃I,Implement 가능한 메서드 목록을 확인하여 코드를 자동 생성
Editing,⌘⌥ T,Surround with 메뉴
Editing,⌘ /,라인 단위로 주석 처리
Editing,⌘ ⌥/,블록 단위로 주석 처리
Editing,⌥↑,커서 근처의 코드 선택 영역을 확대
Editing,⌥↓,커서 근처의 코드 선택 영역을 축소
Editing,⌃⇧Q,Context info
Editing,⌥↩,"Import 추가, 퀵픽스 제안"
Editing,⌘⌥L,코드 정렬
Editing,⌃⌥ O,Import 정리
Editing,⌃⌥ I,들여쓰기 정렬
Editing,⇥ / ⇧⇥,들여쓰기 추가 / 제거
Editing,⌘X,잘라내기
Editing,⌘C,복사
Editing,⌘V,붙여넣기
Editing,⌘⇧V,최근 기록에서 선택해 붙여넣기
Editing,⌘D,현재 라인 복사
Editing,⌘Delete,현재 라인 삭제
Editing,⌃⇧J,라인 합치기
Editing,⌘↩,라인 나누기
Editing,⇧↩,다음 줄에서 입력 시작
Editing,⌘⇧U,대/소문자 변경
Editing,⌘⌥⇧[ / ⌘⌥⇧],코드 블럭 이동
Editing,⌥⌦,다음 단어 삭제
Editing,⌥Delete,이전 단어 삭제
Editing,⌘+ / ⌘-,코드 블럭 펼치기/접기
Editing,⌘⇧+,전체 펼치기
Editing,⌘⇧-,전체 접기
Editing,⌘W,탭 닫기
Refactoring,F5,복사
Refactoring,F6,이동
Refactoring,⌘Delete,안전하게 삭제
Refactoring,⇧F6,이름 변경
Refactoring,⌃T,Refactor 메뉴 열기
Refactoring,⌘F6,메서드 시그니처 변경
Refactoring,⌘⌥N,Inline
Refactoring,⌘⌥M,메서드로 추출
Refactoring,⌘⌥V,변수로 추출
Refactoring,⌘⌥F,필드로 추출
Refactoring,⌘⌥C,상수로 추출
Refactoring,⌘⌥P,파라미터로 추출
Navigation,⌘O,Class로 이동
Navigation,⌘⇧O,파일로 이동
Navigation,⌘⌥O,심볼로 이동
Navigation,⌃← / ⌃→,탭 이동
Navigation,F12,최근 도구창
Navigation,⎋,도구창 닫고 에디터로
Navigation,⇧⎋,도구창 닫기
Navigation,⌘L,특정 라인으로 이동
Navigation,⌘E,최근 연 파일
Navigation,⌘⇧E,최근 편집 파일
Navigation,⌘⌥← / ⌘⌥→,이전/다음 편집 위치
Navigation,⌘⇧Delete,이전 방문 위치
Navigation,⌥F1,Select In...
Navigation,⌘B / ⌘Click,선언으로 이동
Navigation,⌘⌥B,구현으로 이동
Navigation,"⌥Space, ⌘Y",정의 미리 보기
Navigation,⌃⇧B,타입 선언으로 이동
Navigation,⌘U,상위로 이동
Navigation,⌃↑ / ⌃↓,이전/다음 메서드
Navigation,⌘⌥[ / ⌘⌥],중괄호 이동
Navigation,⌘F12,파일 구조
Navigation,⌃H,Type 계층
Navigation,⌘⇧H,Method 계층
Navigation,⌃⌥H,Call 계층
Navigation,F2 / ⇧F2,오류 이동
Navigation,F4 / ⌘↓,소스 보기
Navigation,⌥Home,네비게이션 바
Navigation,F3,북마크 토글
Navigation,⌥F3,북마크 숫자 지정
Navigation,⌃0 ... ⌃9,지정 북마크 이동
Navigation,⌘F3,모든 북마크 보기
Compile and Run,⌘F9,빌드
Compile and Run,⌘⇧F9,컴파일
Compile and Run,⌃⌥R / D,구성 선택 후 실행/디버그
Compile and Run,⌃R / D,실행 / 디버그
Compile and Run,"⌃⇧R, ⌃⇧D",현재 파일 실행
Compile and Run,Double⌃,Run Anything
Compile and Run,⌘K,VCS 커밋
Compile and Run,⌘T,업데이트
Compile and Run,⌘⇧K,Push
Compile and Run,⌃V,VCS 퀵 팝업
Compile and Run,⌘⇧T,테스트 코드 생성/이동
